,Tubelabel,Health_Status ,Sample_Weight,Extraction_Date,Raw_ng_ul,Extract_Location,16S_PCR_Complete,,Date_Libprep,Notes ,Seq_date,Microbe_seq_file_R1,Microbe_seq_file_R2,Seq_Location (in Unity),Sample_Code = datecollected_tagnumber_transect_samplenumber_species
1,102025_COL_SAN_Protran1_528_PSTR,H,0.1253g,6/1/2026,too low,UML_Penguin_Brandon_Box1,,,,This sample was done with the Trizol Protocol as practice,,,,,
2,102025_COL_SAN_Protran1_534_PSTR,D - M,0.0813g,6/1/2026,0.478ng/ul,UML_Penguin_Brandon_Box1,,,,This sample was done with the Trizol Protocol as practice,,,,,
3,102025_COL_SAN_Protran1_535_PSTR,D - T,0.1161g,6/1/2026,0.856ng/ul,UML_Penguin_Brandon_Box1,,,,This sample was done with the Trizol Protocol as practice,,,,,
4,102025_COL_SAN_Protran1_571a_PSTR,D - M,0.1378g,6/4/2026,0.304ng/ul,UML_Penguin_Ria_Box1,,,,This sample was done with the kit by Ria as practice,,,,,
5,102025_COL_SAN_Protran1_571b_PSTR,D - M,N/A,6/4/2026,too low,UML_Penguin_Ria_Box1,,,,This sample was done with the kit by Ria as practice,,,,,
6,102025_COL_SAN_Protran1_572_PSTR,D - T,0.4068g,6/4/2026,2.78ng/ul,UML_Penguin_Ria_Box1,,,,This sample was done with the kit by Ria as practice,,,,,
7,102025_COL_SAN_Protran1_573_PSTR,D - M,0.0905g,6/4/2026,0.544ng/ul,UML_Penguin_Ria_Box1,,,,This sample was done with the kit by Ria as practice,,,,,
8,102025_COL_SAN_Protran1_585_PSTR,D - M,0.066g,6/9/2026,5.72ng/ul,UML_Penguin_Brandon_Box1,,,,100ul liquid,,,,,
9,102025_COL_SAN_Protran1_586_PSTR,D - T,0.0602g,6/9/2026,7.90ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
10,102025_COL_SAN_Protran1_587_OFAV,D - M,0.0506g,6/9/2026,22ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
11,102025_COL_SAN_Protran1_588_OFAV,D - T,0.0516g,6/9/2026,23.4ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
12,102025_COL_SAN_Protran1_589_OFAV,D - M,0.1425g,6/9/2026,0.418ng/ul,UML_Penguin_Brandon_Box1,,,,"more mucous than sample, 100ul liq",,,,,
13,102025_COL_SAN_Protran1_523_OFAV,D - M,0.1323g,6/17/2026,1.61ng/ul,UML_Penguin_Brandon_Box1,,,,incl 100ul liq,,,,,
14,102025_COL_SAN_Protran1_524_OFAV,D - T,0.0120g,6/17/2026,12.9ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
15,102025_COL_SAN_Protran1_526_OFAV,D - M,0.1272g,6/17/2026,none,UML_Penguin_Brandon_Box1,,,,had no tissue sample? Only used 100ul liq,,,,,
16,102025_COL_SAN_Protran1_527_OFAV,D - T,0.1274g,6/17/2026,0.172ng/ul,UML_Penguin_Brandon_Box1,,,,had no tissue sample? Only used 100ul liq,,,,,
17,102025_COL_SAN_Protran1_529_PSTR,H - T,0.0446g,6/17/2026,2.22ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
18,102025_COL_SAN_Protran1_530_PSTR,H - T,0.0254g,6/17/2026,2.66ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
19,102025_COL_SAN_Protran1_540_MCAV,H - T,0.0038g,6/17/2026,18.3ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
20,102025_COL_SAN_Protran1_33_OFAV,H - T,0.1100g,6/25/2026,6.52ng/ul,UML_Penguin_Brandon_Box1,,,,incl 100ul liq,,,,,
21,102025_COL_SAN_Protran1_41_OFAV,H - T,0.0597g,6/25/2026,9.96ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
22,102025_COL_SAN_Protran1_90_OFAV,H - T,0.0151g,6/25/2026,16.1ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
23,102025_COL_SAN_Protran1_132_OFAV,H - T,0.1356g,6/25/2026,3.30ng/ul,UML_Penguin_Brandon_Box1,,,,incl 100ul liq,,,,,
24,102025_COL_SAN_Protran1_215_OFAV,H - T,0.1293g,6/25/2026,1.59ng/ul,UML_Penguin_Brandon_Box1,,,,incl 100ul liq,,,,,
